category,word,description
データベース,データベース,データを整理して保存し、必要なときに取り出せるようにした仕組み
データベース,DBMS,データベースを作成・管理・操作するためのソフトウェア
データベース,SQL,データベースを操作するときに使う言語
データベース,主キー,テーブルの中で1つのデータを重複なく識別するための項目
データベース,外部キー,別のテーブルのデータと関連付けるための項目
データベース,正規化,データの重複を減らして管理しやすくする設計方法
データベース,第1正規形,1つのセルには1つの値だけを入れるように整理した状態
データベース,第2正規形,主キーの一部だけに依存するデータ（部分関数従属）をなくした状態
データベース,第3正規形,主キー以外の項目同士の重複した依存関係（推移的関数従属）をなくした状態
データベース,インデックス,目的のデータを素早く見つけるための索引
データベース,ビュー,検索結果をテーブルのように扱える仮想的な表
データベース,トランザクション,一連の処理をひとまとまりとして実行する仕組み
データベース,コミット,トランザクションで行った変更を確定すること
データベース,ロールバック,トランザクションで行った変更を取り消すこと
データベース,排他制御,複数人が同時に更新してもデータが壊れないようにする仕組み
データベース,共用ロック,データを読むときに使うロック。同時に他の人も読むことはできるが、更新はできない
データベース,排他ロック,データを更新するときに使うロック。ロック中は他の人は読んだり更新したりできない
データベース,ACID特性,トランザクションが安全に実行されるための4つの性質
データベース,一貫性,データが矛盾しない状態を保つ性質
データベース,原子性,処理を全部成功か全部失敗のどちらかにする性質
データベース,分離性(独立性),同時に処理しても互いに影響しない性質
データベース,永続性,コミットしたデータが失われない性質
データベース,NULL,値が存在しないことを表す特別な値
データベース,NOT NULL制約,値を必ず入力しなければならない制約
データベース,UNIQUE制約,同じ値を重複して登録できなくする制約
データベース,CHECK制約,決められた条件を満たす値だけ登録できる制約
データベース,DEFAULT制約,値を省略したときに自動で初期値を入れる制約
データベース,ER図,データ同士の関係を図で表したもの
データベース,エンティティ,管理したい対象を表すもの
データベース,リレーション,テーブル同士の関連を表す関係（リレーショナルデータベースにおけるテーブル（表）そのもの）
データベース,レコード,テーブルの1行分のデータ
データベース,カラム,テーブルの各項目を表す列
データベース,スキーマ,データベースやテーブルの構造・定義を表す設計情報
データベース,GRANT,ユーザーへデータベースの操作権限を与えるSQL
データベース,REVOKE,ユーザーからデータベースの操作権限を取り消すSQL
データベース,キーバリューストア(KVS),キーと値の組み合わせでデータを管理するデータベース
データベース,多重度,テーブル同士が1対1・1対多・多対多などどのような関係にあるかを表すもの
